cellmesh_include	tabula_muris_name	cellmesh_primary	cellmesh_alternate			
	immature B cell	Precursor Cells, B-Lymphoid	B-Lymphocytes	B-Lymphocyte Subsets		
	erythroblast	Erythroblasts	Erythroid Precursor Cells			
	early pro-B cell	Precursor Cells, B-Lymphoid	B-Lymphocyte Subsets			
	proerythroblast	Erythroblasts	Erythroid Precursor Cells			
	kidney loop of Henle ascending limb epithelial cell	Epithelial Cells	Madin Darby Canine Kidney Cells			
	kidney capillary endothelial cell	Endothelial Cells				
	granulocyte	Granulocytes				
	epithelial cell	Epithelial Cells				
	duct epithelial cell 	Epithelial Cells				
	luminal epithelial cell of mammary gland	Epithelial Cells				
	skeletal muscle satellite cell	Satellite Cells, Skeletal Muscle	Myoblasts, Skeletal	Muscle Fibers, Skeletal		
	dendritic cell	Dendritic Cells				
	Langerhans cell	Langerhans Cells	Dendritic Cells			
	neuroendocrine cell	Neuroendocrine Cells				
n	basal cell					
	stromal cell	Stromal Cells				
	endothelial cell of hepatic sinusoid	Endothelial Cells				
	late pro-B cell	Precursor Cells, B-Lymphoid	B-Lymphocyte Subsets	B-Lymphocytes		
	kidney collecting duct epithelial cell	Epithelial Cells	Madin Darby Canine Kidney Cells			
	myeloid cell	Myeloid Cells	Granulocytes	Monocytes		
	cardiac muscle cell	Myocytes, Cardiac	Muscle Cells			
	Fraction A pre-pro B cell	Precursor Cells, B-Lymphoid	B-Lymphocyte Subsets	B-Lymphocytes		
	hematopoietic precursor cell	Hematopoietic Stem Cells	Lymphoid Progenitor Cells	Myeloid Progenitor Cells	Bone Marrow Cells	
	keratinocyte	Keratinocytes	Epidermal Cells			
	classical monocyte	Monocytes				
	B cell	B-Lymphocytes	B-Lymphocyte Subsets			
	kidney proximal straight tubule epithelial cell	Epithelial Cells	Madin Darby Canine Kidney Cells			
	alveolar macrophage	Macrophages, Alveolar	Macrophages			
	type II pneumocyte	Alveolar Epithelial Cells	Epithelial Cells			
	bladder urothelial cell	Epithelial Cells				
	lung endothelial cell	Endothelial Cells				
n	kidney cell					
	natural killer cell	Killer Cells, Natural				
n	bladder cell					
	immature T cell	Precursor Cells, T-Lymphoid	T-Lymphocytes	T-Lymphocyte Subsets		
	mesenchymal cell	Mesenchymal Stem Cells				
	leukocyte	Leukocytes	Leukocytes, Mononuclear	Lymphocytes	Lymphocyte Subsets	Monocytes
	basal cell of epidermis	Epidermal Cells	Epithelial Cells			
	mast cell	Mast Cells				
	mesangial cell	Mesangial Cells	Myofibroblasts			
	T cell 	T-Lymphocytes	T-Lymphocyte Subsets	CD4-Positive T-Lymphocytes	CD8-Positive T-Lymphocytes	
	promonocyte	Monocyte-Macrophage Precursor Cells	Monocytes	Myeloid Progenitor Cells		
