to_use	mca_cell_name	tabula_muris	cellmesh	cellmarker_cellonto	scquery
	Abt cell				
	Acinar cell	pancreatic acinar cell	Acinar Cells		Pancreas
	Adipocyte		Adipocytes		
	Alveolar bipotent progenitor	type II pneumocyte			Lung
	Alveolar macrophage	alveolar macrophage			Macrophage
	Antral mucous cell				
	Astrocyte	astrocyte			Brain
	Astroglial cell	astrocyte			Brain
	At1 cell		Alveolar Epithelial Cells	Type I pneumocyte	Lung
	At2 cell	type II pneumocyte			Lung
	Atrial cardiomyocyte	cardiac muscle cell			
	Basal epithelial cell	epithelial cell			Skin Epidermis
	Basophil	basophil			Myeloid Cell
	B cell	B cell			
	Brown adipose tissue			Brown fat cell	
	Cardiac muscle cell	cardiac muscle cell			
	Cartilage cell			Chondrocyte	Growth Plate Cartilage
n	Cell in cell cycle				
	Chondrocyte			Chondrocyte	Growth Plate Cartilage
	Choroid plexus epithelium	epithelial cell			Epithelium
	Ciliated cell	ciliated columnar cell of tracheobronchial tree			Olfactory Epithelium
	Clara cell		Alveolar Epithelial Cells		Lung
	Columnar epithelium	ciliated columnar cell of tracheobronchial tree			Epithelium Of Small Intestine
	Conventional dendritic cell	dendritic cell			
	Cumulus cell				
	Cxcl12-abundant reticular cell	fibroblast			
	Cycling cell				
	Decidual stromal cell		Stromal Cells		
	Dendritic cell	dendritic cell			
	Dendrtic cell	dendritic cell			
	Distal collecting duct principal cell	duct epithelial cell 		Duct cell	Kidney Cell
	Distal convoluted tubule epithelial cell			Distal convoluted tubule cell	Kidney Cell
	Distal convoluted tubule			Distal convoluted tubule cell	Kidney Cell
n	Dividing cell				
	Dividing dendritic cell	dendritic cell			
	Dividing t cell	T cell			
n	Dividng cell				
	Dopaminergic neuron		Dopaminergic Neurons	Dopaminergic neuron	Neural Cell
	Dpt cell				
	Ductal cell	duct epithelial cell 		Duct cell	Kidney Cell
	Elongating spermatid		Spermatogonia		
	Endocrine cell			Endocrine cell	Endocrine Cell
	Endocrine progenitor cell			Endocrine cell	Endocrine Cell
	Endodermal cell				
	Endothelial cell	endothelial cell			
