,tabula_muris_name,alternate_cell_ontology_names,,
,immature B cell,Naive B cell,,
,erythroblast,Erythroid precursor,,
,early pro-B cell,Naive B cell,,
,proerythroblast,Erythroid precursor,,
,kidney loop of Henle ascending limb epithelial cell,,,
,kidney capillary endothelial cell,,,
,granulocyte,,,
,epithelial cell,,,
,duct epithelial cell ,,,
,luminal epithelial cell of mammary gland,,,
,skeletal muscle satellite cell,Myoblast,Muscle satellite cell,
,dendritic cell,,,
,Langerhans cell,Dendritic cell,,
,neuroendocrine cell,,,
,basal cell,,,
,stromal cell,,,
,endothelial cell of hepatic sinusoid,,,
,late pro-B cell,Naive B cell,,
,kidney collecting duct epithelial cell,,,
,myeloid cell,Granulocyte,Monocyte,
,cardiac muscle cell,Cardiomyocyte,Muscle cell,
,Fraction A pre-pro B cell,Naive B cell,,
,hematopoietic precursor cell,Hematopoietic progenitor cell,Hematopoietic stem cell,Hematopoietic cell
,keratinocyte,,,
,classical monocyte,Monocyte,,
,B cell,,,
,kidney proximal straight tubule epithelial cell,,,
,alveolar macrophage,Macrophage,,
,type II pneumocyte,Epithelial cell,,
,bladder urothelial cell,Epithelial cell,,
,lung endothelial cell,,,
,kidney cell,,,
,natural killer cell,,,
,bladder cell,,,
,immature T cell,Naive T cell,,
,mesenchymal cell,Mesenchymal stem cell,,
,leukocyte,Lymphocyte,Monocyte,
,basal cell of epidermis,Epithelial cell,,
,mast cell,,,
,mesangial cell,Myofibroblast,,
,T cell ,,,
,promonocyte,Monocyte,,
,endocardial cell,Endothelial cell,,
,endothelial cell,,,
,mesenchymal stem cell,,,
,fibroblast,,,
,ciliated columnar cell of tracheobronchial tree,Ciliated cell,Ciliated epithelial cell,
,granulocytopoietic cell,Granulocyte,Granulocyte-monocyte progenitor,
,non-classical monocyte,,,
,macrophage,,,
,DN1 thymic pro-T cell,Naive T cell,,
,monocyte,,,
,basophil,,,
,hepatocyte,,,
,blood cell,,,
