tm_cell	scquery_cell
alveolar macrophage	Macrophage
astrocyte	
B cell 	
basal cell	Skin Epidermis
basal cell of epidermis 	Skin Epidermis
basophil	
Bergmann glial cell	Neural Cell
bladder cell	Epithelium
bladder urothelial cell	Epithelium
blood cell	
brain pericyte	
Brush cell of epithelium proper of large intestine	Epithelium
cardiac muscle cell	
ciliated columnar cell of tracheobronchial tree	Epithelium
classical monocyte	Blood Cell
common lymphoid progenitor	Short Term Hematopoietic Stem Cell
dendritic cell	
duct epithelial cell 	Epithelium
DN1 thymic pro-T cell	T Cell
early pro-B cell	
endocardial cell	
endothelial cell	Epithelium
endothelial cell of hepatic sinusoid 	Kidney Cell
enterocyte of epithelium of large intestine	Epithelium
enteroendocrine cell	Endocrine Cell
epidermal cell	Skin Epidermis
epithelial cell	Epithelium
epithelial cell of large intestine	Epithelium
epithelial cell of lung	Lung
epithelial cell of proximal tubule	Kidney Cell
erythroblast	
erythrocyte	
fibroblast	Fibroblast
Fraction A pre-pro B cell	
granulocyte	
granulocyte monocyte progenitor cell	Myeloid Cell
granulocytopoietic cell	Myeloid Cell
hematopoietic precursor cell	Hematopoietic Stem Cell
hepatocyte	Liver
immature B cell	
immature natural killer cell	
immature NK T cell	T Cell
immature T cell	T Cell
keratinocyte	Skin Epidermis
keratinocyte stem cell 	Skin Epidermis
kidney capillary endothelial cell	Kidney Cell
kidney cell	Kidney Cell
kidney collecting duct epithelial cell	Epithelium
kidney loop of Henle ascending limb epithelial cell	Kidney Cell
kidney proximal straight tubule epithelial cell	Kidney Cell
Kupffer cell	Macrophage
Langerhans cell	Macrophage
large intestine goblet cell	Epithelium
late pro-B cell 	Blood Cell
leukocyte	Myeloid Cell
luminal epithelial cell of mammary gland	Epithelium
lung endothelial cell	Epithelium
lymphocyte	Myeloid Cell
macrophage	Macrophage
mast cell	
mature natural killer cell	
megakaryocyte-erythroid progenitor cell	Hematopoietic Stem Cell
mesangial cell	Epithelium
mesenchymal cell	
mesenchymal stem cell	
mesenchymal stem cell of adipose	
microglial cell 	Macrophage
monocyte	Myeloid Cell
myeloid cell	Myeloid Cell
myofibroblast cell	Fibroblast
naive B cell	
natural killer cell	
neuron	Brain
non-classical monocyte	
oligodendrocyte	Oligodendrocyte
oligodendrocyte precursor cell	Oligodendrocyte
pancreatic A cell	Pancreas
pancreatic acinar cell	Pancreas
pancreatic D cell	Pancreas
pancreatic ductal cell	Pancreas
pancreatic PP cell	Pancreas
pancreatic stellate cell	Pancreas
pre-natural killer cell	
precursor B cell	
proerythroblast	
professional antigen presenting cell	Macrophage
promonocyte	
regulatory T cell	T Cell
skeletal muscle satellite cell	
skeletal muscle satellite stem cell	Embryonic Stem Cell
Slamf1-negative multipotent progenitor cell	Hematopoietic Stem Cell
Slamf1-positive multipotent progenitor cell	Short Term Hematopoietic Stem Cell
smooth muscle cell	
stem cell of epidermis	Skin Epidermis
stromal cell	Fibroblast
T cell	T Cell
type II pneumocyte	
type B pancreatic cell	Type B Pancreatic Cell
