,B cell,DN1 thymic pro-T cell,Fraction A pre-pro B cell,Langerhans cell,T cell,alveolar macrophage,basal cell,basal cell of epidermis,basophil,bladder cell,bladder urothelial cell,blood cell,cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,dendritic cell,duct epithelial cell,early pro-B cell,endocardial cell,endothelial cell,endothelial cell of hepatic sinusoid,epithelial cell,erythroblast,fibroblast,granulocyte,granulocytopoietic cell,hematopoietic precursor cell,hepatocyte,immature B cell,immature T cell,keratinocyte,kidney capillary endothelial cell,kidney cell,kidney collecting duct epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney proximal straight tubule epithelial cell,late pro-B cell,leukocyte,luminal epithelial cell of mammary gland,lung endothelial cell,macrophage,mast cell,mesangial cell,mesenchymal cell,mesenchymal stem cell,monocyte,myeloid cell,nan,natural killer cell,neuroendocrine cell,non-classical monocyte,proerythroblast,promonocyte,skeletal muscle satellite cell,stromal cell,type II pneumocyte
0,Cd79a,Klra9,Cox6a2,Cd207,Ms4a4b,Ear2,Acta2,Krt5,Prss34,Car3,Ivl,Il1b,Nppa,Sec14l3,Lyz1,Siglech,Psca,Vpreb1,Npr3,Fabp4,Clec4g,Tg,Beta-s,Cfh,Retnlg,Camp,Mpo,Alb,Vpreb3,Dntt,Krt36,Emcn,Cd209a,S100g,Umod,Kap,Vpreb3,Il1b,Expi,Cldn5,Retnla,Ccl3,Rgs5,Cytl1,Ccl11,Lyz2,Cd209a,Thbs4,Gzma,Mpz,Gngt2,Car2,Ly6c2,Myod1,Inmt,Sftpc
1,Ms4a1,Cd7,Irf8,Il1r2,Cd3d,Ear1,Cnn1,Krt15,Mcpt8,Col1a1,Upk1a,Ccl17,Myl7,Dynlrb2,Lyz2,Cox6a2,Mup2,Igll1,Igf2,Selp,Dnase1l3,Bpifa1,Hbb-b2,Htra3,Mmp8,Ngp,Elane,Apoa2,Fam129c,Cd8a,Krt4,Ppap2a,Naaa,Klk1,Slc12a1,Spink3,Igll1,Csf3r,1600029D21Rik,Tmem100,C1qb,Ccl4,Myl9,Col2a1,Ptx3,Ccr2,Ccl17,Tnmd,Ccl5,Kcna1,Lst1,Gypa,Ms4a6c,Asb5,Mmp3,Sftpa1
2,Cd79b,Ctsw,Runx2,Ccl22,Cd3g,Ccl6,Tagln,Serpinb10-ps,Cpa3,Wnt2,Upk3a,C1qb,Myh6,Ccdc153,Ms4a6c,Bst2,Upk1b,Vpreb3,Cfh,Glycam1,Stab2,Dcpp3,Hba-a2,Ccdc80,Ifitm6,S100a8,Ctsg,Serpina3k,Cd79b,Cd8b1,Krtdap,Esm1,H2-DMb1,Slc12a3,Egf,Miox,Vpreb1,C1qa,Csn3,Clec14a,C1qa,Osm,Myh11,Ucma,Smoc2,Ms4a6c,Retnla,Fmod,Klre1,Rgs5,Emr4,Beta-s,F13a1,Des,Sod3,Sftpb
3,Faim3,Cxcr6,Siglech,Pgf,Il7r,Abcg1,Fst,Col17a1,Fcer1a,Col1a2,Foxq1,Cxcl2,Sln,Scgb1a1,Clec4a3,Lag3,Krt7,Vpreb2,Eng,Apold1,Ehd3,Scgb3a2,Alas2,Col15a1,S100a9,Fcnb,Prtn3,Mup3,Spib,Hist1h2ao,Cnfn,Plvap,H2-Ab1,Calb1,Wfdc15b,Slc34a1,Hist1h2ae,Clec4f,Fcgbp,Ramp2,C1qc,Ifitm1,Tagln,3110079O15Rik,Ifi205,Lyz1,H2-DMb1,Acta1,Klrb1c,Myh11,Treml4,Slc4a1,Ccr2,Fam132b,Mfap4,Cxcl15
4,Tnfrsf13c,Xcl1,Bex6,Ccl17,Ms4a6b,Chi3l3,Chi3l1,Igfbp2,Ccl3,Cxcl14,Gstm1,C1qa,Ttn,1110017D15Rik,Gm9733,Rnase6,Upk3a,Dntt,H19,Gpihbp1,Gpr182,Dcpp2,Snca,Tbx20,S100a8,S100a9,Ms4a3,Apoa1,Fcrla,Arpp21,Ly6g6c,Ehd3,H2-Eb1,Aqp2,Ppp1r1a,Acsm2,Hist1h1b,Clec4d,Krt18,Car4,Siglech,Ccl6,Acta2,Mia1,Cxcl1,Ccl9,C1qa,Angptl7,Gzmb,Acta2,Clec4a3,Rhd,Lyz2,Chodl,Ppp1r14a,Slc34a2
5,2010001M09Rik,Klra1,Hist1h2ae,Mfge8,Cd3e,Atp6v0d2,Tpm2,Wnt10a,Cd200r3,Thbs2,Krt7,Cd14,Tnni3,Tmem212,Ccr2,Lair1,Mup20,Tifa,Cgnl1,Aqp1,Oit3,Sbpl,Hbb-b1,Meox1,Lcn2,Chi3l3,Igj,Fabp1,Cd79a,Lck,Sprr1b,AU021092,H2-Aa,Slc14a2,Kng2,Tmem27,Myl4,C1qc,Krt8,Calcrl,Ccl4,Hdc,ORF63,Wif1,Tnfaip6,Gm11428,C1qc,Kera,Ncr1,Myl9,Ear2,Hbb-b2,Tifab,Nppc,Limch1,Sftpd
6,H2-Ob,Klrb1c,Cd7,Cd83,Gimap3,Ltc4s,Actg2,Krt14,Csrp3,Htra1,Mal,C1qc,Tnnt2,Fam183b,Lst1,Irf8,Mup1,Bfsp2,Vwf,Rnd1,Fcgr2b,Scgb3a1,Hba-a1,Pi16,Mmp9,Lcn2,Pf4,Serpina1c,Dnajc7,Satb1,Krt6b,Rsad2,Clec10a,Defb1,Car15,Akr1c21,Hist1h1e,Cd5l,Epcam,Hpgd,Cox6a2,Ccl9,Pcp4l1,Acan,Ccl7,F13a1,H2-DMa,Cilp,Nkg7,Tagln,Apoc2,Alas2,Mki67,Chrdl2,Fhl1,Sfta2
7,Bank1,Cd3g,Hist1h1b,Rgs1,Ramp3,Mrc1,Gjb3,Crabp1,Gata2,Fbln1,Akr1b8,Bcl2a1b,Myl4,Riiad1,LOC100038947,Cd209d,Upk2,Cplx2,Sdpr,Cdh5,Mrc1,Lipf,Bpgm,Lum,Ngp,Cebpe,Ppbp,Mup20,Pou2af1,Thy1,Krt84,Plscr2,Xcr1,Hsd11b2,Atp1b1,Gpx3,Hist1h1a,Gm11428,Cited1,Icam2,Aif1,Defb40,Mylk,Col11a1,Has1,Ccl6,Mgl2,Rrad,Klra9,Il6,AF251705,Hemgn,Lyz1,Myf5,Pcolce2,Lamp3
8,Cr2,Klra3,Top2a,H2-Ab1,Lat,Clec7a,Clca2,Moxd1,Ctsg,Col12a1,Upk2,Ccl4,Actc1,1700016K19Rik,Klra2,Pld4,Gstm1,2010001M09Rik,Bmx,Csf3,Ptprb,Reg3g,Gypa,Dpt,1100001G20Rik,1100001G20Rik,Prss57,Ttr,Cnp,Sh2d1a,Krt13,Slc9a3r2,Plbd1,D630042F21Rik,Cldn10,Lrp2,Lrmp,Ccl6,Krt19,Acvrl1,H2-Eb1,Fcer1a,Pln,Chad,Lrrn4cl,Alox5ap,C1qb,Tnnc2,Klrk1,Gm13889,Itgal,Car1,Hist1h1b,Gal,Wisp2,Ager
9,Cd19,Il7r,Mki67,Dpep2,Hcst,Krt79,Cda,5730469M10Rik,Hist1h2ac,Tnc,Upk1b,Tnip3,Mb,Cbr2,Ccl9,Mpeg1,Ivl,Lef1,Tm4sf1,Flt1,F8,Cyp2f2,Trim10,Cygb,Ltf,Pglyrp1,Ly6c2,Serpina1e,Tnfrsf13c,Lat,Krt16,Podxl,H2-DMa,Kl,Kcnj1,Guca2b,Top2a,Cd83,Aldh1a3,Egfl7,H2-Ab1,A130040M12Rik,Nrip2,Col9a2,Fgl2,Lst1,Ccr2,Tnnt3,Klrd1,Higd1b,Eno3,Snca,Pld4,Flnc,Tnfaip6,Hc
